antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'072273474604-C-P-L1-11.23'}),frozenset({'072273408869-C-P-L1-11.23'}),0.020608439646712464,0.018645731108930325,0.012757605495583905,0.619047619047619,33.20050125313283,0.012373346071356687,2.5760549558390573,0.9902882688453831
frozenset({'072273408869-C-P-L1-11.23'}),frozenset({'072273474604-C-P-L1-11.23'}),0.018645731108930325,0.020608439646712464,0.012757605495583905,0.6842105263157894,33.20050125313283,0.012373346071356687,3.10140660778541,0.9883076923076923
frozenset({'P7-QU6L-HSSW'}),frozenset({'IP-UPU7-8L3ZP'}),0.038272816486751716,0.029440628066732092,0.015701668302257114,0.41025641025641024,13.935042735042733,0.014574892547004364,1.6457311089303237,0.9651785714285714
frozenset({'IP-UPU7-8L3ZP'}),frozenset({'P7-QU6L-HSSW'}),0.029440628066732092,0.038272816486751716,0.015701668302257114,0.5333333333333332,13.935042735042732,0.014574892547004364,2.0608439646712458,0.9563953488372093
frozenset({'MY-W0RV-KOLE'}),frozenset({'ZY-0P33-IA55P'}),0.04121687929342493,0.02845927379784102,0.012757605495583905,0.3095238095238095,10.876026272577995,0.011584603042679761,1.4070589827755406,0.9470907802535233
frozenset({'ZY-0P33-IA55P'}),frozenset({'MY-W0RV-KOLE'}),0.02845927379784102,0.04121687929342493,0.012757605495583905,0.4482758620689655,10.876026272577997,0.011584603042679761,1.7377944062806674,0.9346542346542346
frozenset({'MY-W0RV-KOLE'}),frozenset({'8P-L0HC-10S6P'}),0.04121687929342493,0.04612365063788027,0.021589793915603533,0.5238095238095238,11.35663627152989,0.01968872097468992,2.0031403336604514,0.9511491579045315
frozenset({'8P-L0HC-10S6P'}),frozenset({'MY-W0RV-KOLE'}),0.04612365063788027,0.04121687929342493,0.021589793915603533,0.4680851063829788,11.35663627152989,0.01968872097468992,1.8025122669283613,0.9560419004863449
frozenset({'ZY-0P33-IA55P'}),frozenset({'8P-L0HC-10S6P'}),0.02845927379784102,0.04612365063788027,0.012757605495583905,0.4482758620689655,9.719002201027147,0.011444959893524505,1.728900883218842,0.9233877233877232
frozenset({'8P-L0HC-10S6P'}),frozenset({'ZY-0P33-IA55P'}),0.04612365063788027,0.02845927379784102,0.012757605495583905,0.2765957446808511,9.719002201027147,0.011444959893524505,1.3430121803382788,0.9404874960430515
frozenset({'jumbojumble-45-unit'}),frozenset({'jumbojumble-protein'}),0.05691854759568204,0.03042198233562316,0.022571148184494603,0.39655172413793105,13.03503893214683,0.02083957313496944,1.606729286415253,0.9790073745645388
frozenset({'jumbojumble-protein'}),frozenset({'jumbojumble-45-unit'}),0.03042198233562316,0.05691854759568204,0.022571148184494603,0.7419354838709677,13.035038932146831,0.02083957313496944,3.654440628066732,0.9522531244499208
frozenset({'jumbojumble-healthy-Set'}),frozenset({'jumbojumble-45-unit'}),0.02649656526005888,0.05691854759568204,0.020608439646712464,0.7777777777777778,13.664750957854407,0.019100293635835708,4.243866535819431,0.9520449308755761
frozenset({'jumbojumble-45-unit'}),frozenset({'jumbojumble-healthy-Set'}),0.05691854759568204,0.02649656526005888,0.020608439646712464,0.36206896551724144,13.664750957854409,0.019100293635835708,1.526032411213962,0.982756057678014
frozenset({'Bioblas-Argan-Conditioner'}),frozenset({'bioblas-garlic(360)-argan(5oz)'}),0.03434739941118744,0.03532875368007851,0.020608439646712464,0.6,16.98333333333333,0.01939498883336335,2.4116781157998037,0.9745934959349594
frozenset({'bioblas-garlic(360)-argan(5oz)'}),frozenset({'Bioblas-Argan-Conditioner'}),0.03532875368007851,0.03434739941118744,0.020608439646712464,0.5833333333333333,16.98333333333333,0.01939498883336335,2.3175662414131497,0.97558494404883
frozenset({'jumbojumble-healthy-Set'}),frozenset({'jumbojumble-protein'}),0.02649656526005888,0.03042198233562316,0.012757605495583905,0.4814814814814815,15.826762246117084,0.011951527455287709,1.869900462638441,0.9623138957816377
frozenset({'jumbojumble-protein'}),frozenset({'jumbojumble-healthy-Set'}),0.03042198233562316,0.02649656526005888,0.012757605495583905,0.4193548387096774,15.826762246117084,0.011951527455287709,1.6765892487187875,0.9662099034568672
